"row_type","sample_cycle","observed_at_local","seconds_since_start","seconds_since_water_start","test_name","phase_label","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","handheld_note","note","error"
"data","558","2026-05-22 21:46:29","99901.2","99300.9","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:46:27","82.0","89.0","85.0","1575","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","558","2026-05-22 21:46:29","99901.3","99300.9","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:46:28","79.2","76.0","81.0","1689","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","559","2026-05-22 21:51:29","100201.4","99601.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:51:28","81.9","89.0","86.0","1563","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","559","2026-05-22 21:51:29","100201.5","99601.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:51:28","79.2","77.0","81.0","1687","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","560","2026-05-22 21:56:28","100500.6","99900.5","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:56:27","82.0","89.0","86.0","1565","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","560","2026-05-22 21:56:28","100500.7","99900.5","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:56:27","80.1","76.0","80.0","1715","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","561","2026-05-22 22:01:29","100800.9","100200.7","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 22:01:27","81.3","89.0","86.0","1553","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","561","2026-05-22 22:01:29","100801","100200.7","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 22:01:27","79.5","77.0","80.0","1713","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","562","2026-05-22 22:06:29","101101.1","100501","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 22:06:27","82.2","90.0","86.0","1568","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","562","2026-05-22 22:06:29","101101.5","100501","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 22:06:28","80.1","77.0","80.0","1702","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","563","2026-05-22 22:11:27","101399.3","100799.2","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 22:11:27","80.6","90.0","86.0","1573","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","563","2026-05-22 22:11:27","101399.5","100799.2","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 22:11:27","78.8","77.0","81.0","1678","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","564","2026-05-22 22:16:28","101700.6","101100.5","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 22:16:28","82.0","90.0","87.0","1535","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","564","2026-05-22 22:16:28","101700.7","101100.5","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 22:16:28","80.2","77.0","81.0","1687","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","565","2026-05-22 22:21:29","102000.9","101400.7","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 22:21:28","81.7","90.0","86.0","1567","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
