"sample_cycle","observed_at_local","condition_label","placement_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"13","2026-05-19 17:35:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:35:07","83.5","63.0","75.0","1827","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"14","2026-05-19 17:37:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:37:08","85.6","68.0","72.0","1901","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"14","2026-05-19 17:37:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:37:07","82.6","63.0","74.0","1854","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"15","2026-05-19 17:39:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:39:08","85.3","68.0","72.0","1899","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"15","2026-05-19 17:39:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:39:08","83.8","63.0","76.0","1811","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"16","2026-05-19 17:41:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:41:08","85.6","68.0","72.0","1894","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"16","2026-05-19 17:41:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:41:08","82.8","63.0","75.0","1842","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"17","2026-05-19 17:43:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:43:08","84.9","68.0","72.0","1894","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"17","2026-05-19 17:43:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:43:08","83.1","63.0","75.0","1839","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"18","2026-05-19 17:45:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:45:09","84.7","69.0","72.0","1895","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"18","2026-05-19 17:45:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:45:08","84.0","64.0","74.0","1850","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"19","2026-05-19 17:47:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:47:09","85.3","68.0","72.0","1893","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
