"round_number","round_label","sample_number","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"2","after_reinsert_same_target_positions","1","2026-05-20 20:14:56","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:14:54","78.4","71.0","65.0","2065","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","2","2026-05-20 20:15:26","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:15:25","80.4","83.0","70.0","1955","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","2","2026-05-20 20:15:26","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:15:25","77.0","72.0","66.0","2044","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","3","2026-05-20 20:15:56","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:15:55","79.0","83.0","70.0","1959","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","3","2026-05-20 20:15:56","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:15:55","77.2","72.0","66.0","2060","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","4","2026-05-20 20:16:26","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:16:25","78.8","83.0","70.0","1963","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","4","2026-05-20 20:16:26","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:16:25","77.2","72.0","67.0","2032","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","5","2026-05-20 20:16:57","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:16:55","79.5","83.0","70.0","1959","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","5","2026-05-20 20:16:57","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:16:55","78.6","72.0","67.0","2035","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","6","2026-05-20 20:17:27","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:17:25","79.5","83.0","70.0","1950","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","6","2026-05-20 20:17:27","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:17:25","78.4","73.0","66.0","2042","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","7","2026-05-20 20:17:57","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:17:56","78.8","83.0","71.0","1938","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","7","2026-05-20 20:17:57","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:17:56","78.1","73.0","66.0","2047","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","8","2026-05-20 20:18:27","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:18:26","79.7","83.0","70.0","1943","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","8","2026-05-20 20:18:27","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:18:26","77.2","73.0","66.0","2046","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","9","2026-05-20 20:18:57","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:18:56","79.7","83.0","70.0","1950","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","9","2026-05-20 20:18:57","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:18:56","77.2","73.0","67.0","2027","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","10","2026-05-20 20:19:28","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:19:26","78.8","83.0","70.0","1956","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","10","2026-05-20 20:19:28","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:19:26","78.4","73.0","67.0","2031","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
